DRG Definition,Provider Id,Provider Name,Provider City,Provider State, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,91,"$32,963.07 ","$5,777.24 ","$4,763.73 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,14,"$15,131.85 ","$5,787.57 ","$4,976.71 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,24,"$37,560.37 ","$5,434.95 ","$4,453.79 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10011,ST VINCENT'S EAST,BIRMINGHAM,AL,25,"$13,998.28 ","$5,417.56 ","$4,129.16 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,18,"$31,633.27 ","$5,658.33 ","$4,851.44 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,67,"$16,920.79 ","$6,653.80 ","$5,374.14 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10029,EAST ALABAMA MEDICAL CENTER AND SNF,OPELIKA,AL,51,"$11,977.13 ","$5,834.74 ","$4,761.41 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,32,"$35,841.09 ","$8,031.12 ","$5,858.50 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,135,"$28,523.39 ","$6,113.38 ","$5,228.40 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,34,"$75,233.38 ","$5,541.05 ","$4,386.94 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10046,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,14,"$67,327.92 ","$5,461.57 ","$4,493.57 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10055,FLOWERS HOSPITAL,DOTHAN,AL,45,"$39,607.28 ","$5,356.28 ","$4,408.20 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,43,"$22,862.23 ","$5,374.65 ","$4,186.02 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,ANNISTON,AL,21,"$31,110.85 ","$5,366.23 ","$4,376.23 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,15,"$25,411.33 ","$5,282.93 ","$4,383.73 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10085,DECATUR GENERAL HOSPITAL,DECATUR,AL,27,"$9,234.51 ","$5,676.55 ","$4,509.11 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10090,PROVIDENCE HOSPITAL,MOBILE,AL,27,"$15,895.85 ","$5,930.11 ","$3,972.85 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10092,D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,31,"$19,721.16 ","$6,192.54 ","$5,179.38 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10100,THOMAS HOSPITAL,FAIRHOPE,AL,18,"$10,710.88 ","$4,968.00 ","$3,898.88 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10103,BAPTIST MEDICAL CENTER-PRINCETON,BIRMINGHAM,AL,33,"$51,343.75 ","$5,996.00 ","$4,962.45 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10104,TRINITY MEDICAL CENTER,BIRMINGHAM,AL,29,"$55,219.31 ","$5,710.31 ","$4,471.68 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10113,MOBILE INFIRMARY,MOBILE,AL,66,"$14,948.15 ","$5,550.90 ","$4,219.90 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10139,BROOKWOOD MEDICAL CENTER,BIRMINGHAM,AL,19,"$73,846.21 ","$4,987.26 ","$3,944.42 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,20017,ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,23,"$34,805.13 ","$8,401.95 ","$6,413.78 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30002,BANNER GOOD SAMARITAN MEDICAL CENTER,PHOENIX,AZ,11,"$34,803.81 ","$7,768.90 ","$6,951.45 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30006,TUCSON MEDICAL CENTER,TUCSON,AZ,40,"$24,474.75 ","$6,799.85 ","$5,764.87 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30007,VERDE VALLEY MEDICAL CENTER,COTTONWOOD,AZ,18,"$28,571.61 ","$9,133.00 ","$8,008.11 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30010,CARONDELET ST  MARYS HOSPITAL,TUCSON,AZ,12,"$35,968.50 ","$6,506.50 ","$5,379.83 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30011,CARONDELET ST JOSEPHS HOSPITAL,TUCSON,AZ,42,"$26,294.52 ","$6,083.42 ","$4,903.33 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30012,YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,AZ,28,"$26,771.78 ","$7,140.85 ","$6,133.57 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30013,YUMA REGIONAL MEDICAL CENTER,YUMA,AZ,20,"$29,967.80 ","$6,978.75 ","$5,969.55 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30023,FLAGSTAFF MEDICAL CENTER,FLAGSTAFF,AZ,15,"$27,349.40 ","$11,026.33 ","$9,056.06 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,PHOENIX,AZ,18,"$59,443.83 ","$8,487.44 ","$7,422.66 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30030,PHOENIX BAPTIST HOSPITAL,PHOENIX,AZ,42,"$24,714.66 ","$7,673.21 ","$6,541.92 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,SCOTTSDALE,AZ,13,"$37,706.00 ","$6,590.23 ","$5,473.00 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30061,BANNER BOSWELL MEDICAL CENTER,SUN CITY,AZ,62,"$38,149.85 ","$6,048.61 ","$4,951.90 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,SHOW LOW,AZ,17,"$15,931.52 ","$10,000.82 ","$7,321.64 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30065,BANNER DESERT MEDICAL CENTER,MESA,AZ,25,"$29,718.48 ","$7,551.40 ","$4,846.36 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30069,HAVASU REGIONAL MEDICAL CENTER,LAKE HAVASU CIT,AZ,36,"$25,259.66 ","$6,605.19 ","$5,665.41 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,SCOTTSDALE,AZ,27,"$39,165.92 ","$6,051.18 ","$5,174.25 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30089,BANNER THUNDERBIRD MEDICAL CENTER,GLENDALE,AZ,15,"$26,776.33 ","$6,907.06 ","$5,854.80 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30092,JOHN C LINCOLN DEER VALLEY HOSPITAL,PHOENIX,AZ,11,"$24,560.00 ","$7,079.36 ","$5,204.54 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30093,BANNER DEL E WEBB MEDICAL CENTER,SUN CITY WEST,AZ,12,"$54,050.58 ","$6,061.50 ","$5,312.16 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30094,ARROWHEAD HOSPITAL,GLENDALE,AZ,13,"$32,998.00 ","$7,046.00 ","$6,264.76 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30100,CARONDELET HEART AND VASCULAR INSTITUTE,TUCSON,AZ,14,"$25,757.64 ","$5,976.00 ","$3,592.85 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30101,WESTERN ARIZONA REGIONAL MEDICAL CTR,BULLHEAD CITY,AZ,26,"$60,608.69 ","$6,941.03 ","$5,652.65 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30103,MAYO CLINIC HOSPITAL,PHOENIX,AZ,25,"$29,774.12 ","$7,768.76 ","$5,674.20 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30105,BANNER HEART HOSPITAL,MESA,AZ,64,"$43,823.20 ","$6,291.95 ","$4,788.12 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,FAYETTEVILLE,AR,39,"$30,470.56 ","$5,811.56 ","$4,372.61 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40007,ST VINCENT INFIRMARY MEDICAL CENTER,LITTLE ROCK,AR,55,"$27,734.89 ","$6,051.92 ","$4,837.54 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40010,MERCY MEDICAL CENTER,ROGERS,AR,12,"$17,593.33 ","$5,509.00 ","$4,576.33 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40020,ST BERNARDS MEDICAL CTR,JONESBORO,AR,48,"$11,057.06 ","$6,208.77 ","$5,247.85 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40022,"NW ARKANSAS HOSPITALS, LLC",SPRINGDALE,AR,19,"$37,470.73 ","$6,153.21 ","$4,234.68 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40026,ST JOSEPHS MERCY HEALTH CENTER INC,HOT SPRINGS,AR,41,"$19,270.63 ","$5,806.41 ","$4,759.70 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40027,BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,AR,76,"$16,582.34 ","$5,496.31 ","$4,424.64 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40029,CONWAY REGIONAL MEDICAL CENTER,CONWAY,AR,17,"$11,406.17 ","$5,623.52 ","$4,569.41 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,NORTH LITTLE RO,AR,35,"$23,182.42 ","$5,575.00 ","$4,622.34 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40062,ST EDWARD MERCY MEDICAL CENTER,FORT SMITH,AR,26,"$14,799.30 ","$5,489.53 ","$4,263.19 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40071,JEFFERSON REGIONAL MEDICAL CENTER,PINE BLUFF,AR,12,"$29,474.08 ","$6,529.00 ","$5,682.66 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40078,NATIONAL PARK MEDICAL CENTER,HOT SPRINGS,AR,18,"$98,388.77 ","$9,838.11 ","$8,533.83 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,AR,139,"$25,076.64 ","$5,968.44 ","$4,592.46 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40118,NEA BAPTIST MEMORIAL HOSPITAL,JONESBORO,AR,22,"$29,442.36 ","$6,451.86 ","$5,067.77 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40119,WHITE RIVER MEDICAL CENTER,BATESVILLE,AR,27,"$22,973.00 ","$6,163.03 ","$5,166.29 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40134,ARKANSAS HEART HOSPITAL,LITTLE ROCK,AR,66,"$24,489.93 ","$5,225.59 ","$4,068.10 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50006,ST JOSEPH HOSPITAL,EUREKA,CA,48,"$44,664.45 ","$8,227.14 ","$6,936.52 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50007,PENINSULA MEDICAL CENTER,BURLINGAME,CA,16,"$51,950.87 ","$7,863.00 ","$6,872.50 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50013,ST HELENA HOSPITAL,SAINT HELENA,CA,17,"$105,929.47 ","$9,438.00 ","$8,376.35 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50017,MERCY GENERAL HOSPITAL,SACRAMENTO,CA,27,"$66,207.66 ","$10,863.22 ","$6,924.70 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50026,GROSSMONT HOSPITAL,LA MESA,CA,26,"$40,062.46 ","$7,449.80 ","$6,358.07 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50036,BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD,CA,21,"$53,334.80 ","$8,012.23 ","$6,213.19 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50039,ENLOE MEDICAL CENTER,CHICO,CA,56,"$42,446.30 ","$6,967.73 ","$5,966.62 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50056,ANTELOPE VALLEY HOSPITAL MED CENTER,LANCASTER,CA,15,"$27,027.93 ","$8,333.86 ","$6,639.33 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50057,KAWEAH DELTA MEDICAL CENTER,VISALIA,CA,52,"$30,686.01 ","$7,562.26 ","$6,247.48 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50058,GLENDALE MEM HOSPITAL & HLTH CENTER,GLENDALE,CA,11,"$65,099.54 ","$11,082.18 ","$10,056.00 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50069,ST JOSEPH HOSPITAL,ORANGE,CA,40,"$35,690.02 ","$7,188.90 ","$6,347.10 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50077,SCRIPPS MERCY HOSPITAL,SAN DIEGO,CA,13,"$57,187.30 ","$8,791.69 ","$7,925.84 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50082,ST JOHNS REGIONAL MEDICAL CENTER,OXNARD,CA,28,"$72,051.89 ","$8,009.17 ","$6,393.35 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50084,ST JOSEPHS MED CENTER OF STOCKTON,STOCKTON,CA,66,"$59,184.74 ","$8,628.40 ","$7,758.53 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50093,SAINT AGNES MEDICAL CENTER,FRESNO,CA,34,"$41,460.67 ","$7,471.70 ","$6,580.29 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50107,MARIAN MEDICAL CENTER,SANTA MARIA,CA,34,"$51,983.85 ","$7,992.35 ","$6,967.76 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50108,SUTTER GENERAL HOSPITAL,SACRAMENTO,CA,67,"$60,997.16 ","$8,894.85 ","$7,905.65 "
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50115,PALOMAR MEDICAL CENTER,ESCONDIDO,CA,12,"$44,775.91 ","$6,992.33 ","$5,583.00 "
