"DRGDefinition","ProviderId","ProviderName","ProviderCity","ProviderState","TotalDischarges","AverageCoveredCharges","AverageTotalPayments","AverageMedicarePayments"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10001","SOUTHEAST ALABAMA MEDICAL CENTER","DOTHAN","AL","91","32963.07","5777.24","4763.73"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10005","MARSHALL MEDICAL CENTER SOUTH","BOAZ","AL","14","15131.85","5787.57","4976.71"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10006","ELIZA COFFEE MEMORIAL HOSPITAL","FLORENCE","AL","24","37560.37","5434.95","4453.79"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10011","ST VINCENTS EAST","BIRMINGHAM","AL","25","13998.28","5417.56","4129.16"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10016","SHELBY BAPTIST MEDICAL CENTER","ALABASTER","AL","18","31633.27","5658.33","4851.44"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10023","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY","AL","67","16920.79","6653.80","5374.14"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10029","EAST ALABAMA MEDICAL CENTER AND SNF","OPELIKA","AL","51","11977.13","5834.74","4761.41"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10033","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM","AL","32","35841.09","8031.12","5858.50"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10039","HUNTSVILLE HOSPITAL","HUNTSVILLE","AL","135","28523.39","6113.38","5228.40"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10040","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN","AL","34","75233.38","5541.05","4386.94"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10046","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN","AL","14","67327.92","5461.57","4493.57"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10055","FLOWERS HOSPITAL","DOTHAN","AL","45","39607.28","5356.28","4408.20"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10056","ST VINCENTS BIRMINGHAM","BIRMINGHAM","AL","43","22862.23","5374.65","4186.02"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10078","NORTHEAST ALABAMA REGIONAL MED CENTER","ANNISTON","AL","21","31110.85","5366.23","4376.23"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","FOLEY","AL","15","25411.33","5282.93","4383.73"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10085","DECATUR GENERAL HOSPITAL","DECATUR","AL","27","9234.51","5676.55","4509.11"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10090","PROVIDENCE HOSPITAL","MOBILE","AL","27","15895.85","5930.11","3972.85"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10092","D C H REGIONAL MEDICAL CENTER","TUSCALOOSA","AL","31","19721.16","6192.54","5179.38"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10100","THOMAS HOSPITAL","FAIRHOPE","AL","18","10710.88","4968.00","3898.88"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10103","BAPTIST MEDICAL CENTER-PRINCETON","BIRMINGHAM","AL","33","51343.75","5996.00","4962.45"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10104","TRINITY MEDICAL CENTER","BIRMINGHAM","AL","29","55219.31","5710.31","4471.68"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10113","MOBILE INFIRMARY","MOBILE","AL","66","14948.15","5550.90","4219.90"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","10139","BROOKWOOD MEDICAL CENTER","BIRMINGHAM","AL","19","73846.21","4987.26","3944.42"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","20017","ALASKA REGIONAL HOSPITAL","ANCHORAGE","AK","23","34805.13","8401.95","6413.78"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30002","BANNER GOOD SAMARITAN MEDICAL CENTER","PHOENIX","AZ","11","34803.81","7768.90","6951.45"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30006","TUCSON MEDICAL CENTER","TUCSON","AZ","40","24474.75","6799.85","5764.87"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30007","VERDE VALLEY MEDICAL CENTER","COTTONWOOD","AZ","18","28571.61","9133.00","8008.11"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30010","CARONDELET ST  MARYS HOSPITAL","TUCSON","AZ","12","35968.50","6506.50","5379.83"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30011","CARONDELET ST JOSEPHS HOSPITAL","TUCSON","AZ","42","26294.52","6083.42","4903.33"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30012","YAVAPAI REGIONAL MEDICAL CENTER","PRESCOTT","AZ","28","26771.78","7140.85","6133.57"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30013","YUMA REGIONAL MEDICAL CENTER","YUMA","AZ","20","29967.80","6978.75","5969.55"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30023","FLAGSTAFF MEDICAL CENTER","FLAGSTAFF","AZ","15","27349.40","11026.33","9056.06"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30024","ST JOSEPHS HOSPITAL AND MEDICAL CENTER","PHOENIX","AZ","18","59443.83","8487.44","7422.66"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30030","PHOENIX BAPTIST HOSPITAL","PHOENIX","AZ","42","24714.66","7673.21","6541.92"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","SCOTTSDALE","AZ","13","37706.00","6590.23","5473.00"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30061","BANNER BOSWELL MEDICAL CENTER","SUN CITY","AZ","62","38149.85","6048.61","4951.90"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","SHOW LOW","AZ","17","15931.52","10000.82","7321.64"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30065","BANNER DESERT MEDICAL CENTER","MESA","AZ","25","29718.48","7551.40","4846.36"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30069","HAVASU REGIONAL MEDICAL CENTER","LAKE HAVASU CIT","AZ","36","25259.66","6605.19","5665.41"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","SCOTTSDALE","AZ","27","39165.92","6051.18","5174.25"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30089","BANNER THUNDERBIRD MEDICAL CENTER","GLENDALE","AZ","15","26776.33","6907.06","5854.80"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30092","JOHN C LINCOLN DEER VALLEY HOSPITAL","PHOENIX","AZ","11","24560.00","7079.36","5204.54"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30093","BANNER DEL E WEBB MEDICAL CENTER","SUN CITY WEST","AZ","12","54050.58","6061.50","5312.16"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30094","ARROWHEAD HOSPITAL","GLENDALE","AZ","13","32998.00","7046.00","6264.76"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30100","CARONDELET HEART AND VASCULAR INSTITUTE","TUCSON","AZ","14","25757.64","5976.00","3592.85"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30101","WESTERN ARIZONA REGIONAL MEDICAL CTR","BULLHEAD CITY","AZ","26","60608.69","6941.03","5652.65"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30103","MAYO CLINIC HOSPITAL","PHOENIX","AZ","25","29774.12","7768.76","5674.20"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","30105","BANNER HEART HOSPITAL","MESA","AZ","64","43823.20","6291.95","4788.12"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40004","WASHINGTON REGIONAL MED CTR AT NORTH HILLS","FAYETTEVILLE","AR","39","30470.56","5811.56","4372.61"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40007","ST VINCENT INFIRMARY MEDICAL CENTER","LITTLE ROCK","AR","55","27734.89","6051.92","4837.54"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40010","MERCY MEDICAL CENTER","ROGERS","AR","12","17593.33","5509.00","4576.33"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40020","ST BERNARDS MEDICAL CTR","JONESBORO","AR","48","11057.06","6208.77","5247.85"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40022","NW ARKANSAS HOSPITALS, LLC","SPRINGDALE","AR","19","37470.73","6153.21","4234.68"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40026","ST JOSEPHS MERCY HEALTH CENTER INC","HOT SPRINGS","AR","41","19270.63","5806.41","4759.70"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40027","BAXTER REGIONAL MEDICAL CENTER","MOUNTAIN HOME","AR","76","16582.34","5496.31","4424.64"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40029","CONWAY REGIONAL MEDICAL CENTER","CONWAY","AR","17","11406.17","5623.52","4569.41"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40036","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","NORTH LITTLE RO","AR","35","23182.42","5575.00","4622.34"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40062","ST EDWARD MERCY MEDICAL CENTER","FORT SMITH","AR","26","14799.30","5489.53","4263.19"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40071","JEFFERSON REGIONAL MEDICAL CENTER","PINE BLUFF","AR","12","29474.08","6529.00","5682.66"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40078","NATIONAL PARK MEDICAL CENTER","HOT SPRINGS","AR","18","98388.77","9838.11","8533.83"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","LITTLE ROCK","AR","139","25076.64","5968.44","4592.46"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40118","NEA BAPTIST MEMORIAL HOSPITAL","JONESBORO","AR","22","29442.36","6451.86","5067.77"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40119","WHITE RIVER MEDICAL CENTER","BATESVILLE","AR","27","22973.00","6163.03","5166.29"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","40134","ARKANSAS HEART HOSPITAL","LITTLE ROCK","AR","66","24489.93","5225.59","4068.10"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50006","ST JOSEPH HOSPITAL","EUREKA","CA","48","44664.45","8227.14","6936.52"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50007","PENINSULA MEDICAL CENTER","BURLINGAME","CA","16","51950.87","7863.00","6872.50"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50013","ST HELENA HOSPITAL","SAINT HELENA","CA","17","105929.47","9438.00","8376.35"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50017","MERCY GENERAL HOSPITAL","SACRAMENTO","CA","27","66207.66","10863.22","6924.70"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50026","GROSSMONT HOSPITAL","LA MESA","CA","26","40062.46","7449.80","6358.07"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50036","BAKERSFIELD MEMORIAL HOSPITAL","BAKERSFIELD","CA","21","53334.80","8012.23","6213.19"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50039","ENLOE MEDICAL CENTER","CHICO","CA","56","42446.30","6967.73","5966.62"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50056","ANTELOPE VALLEY HOSPITAL MED CENTER","LANCASTER","CA","15","27027.93","8333.86","6639.33"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50057","KAWEAH DELTA MEDICAL CENTER","VISALIA","CA","52","30686.01","7562.26","6247.48"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50058","GLENDALE MEM HOSPITAL  and  HLTH CENTER","GLENDALE","CA","11","65099.54","11082.18","10056.00"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50069","ST JOSEPH HOSPITAL","ORANGE","CA","40","35690.02","7188.90","6347.10"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50077","SCRIPPS MERCY HOSPITAL","SAN DIEGO","CA","13","57187.30","8791.69","7925.84"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50082","ST JOHNS REGIONAL MEDICAL CENTER","OXNARD","CA","28","72051.89","8009.17","6393.35"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50084","ST JOSEPHS MED CENTER OF STOCKTON","STOCKTON","CA","66","59184.74","8628.40","7758.53"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50093","SAINT AGNES MEDICAL CENTER","FRESNO","CA","34","41460.67","7471.70","6580.29"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50107","MARIAN MEDICAL CENTER","SANTA MARIA","CA","34","51983.85","7992.35","6967.76"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50108","SUTTER GENERAL HOSPITAL","SACRAMENTO","CA","67","60997.16","8894.85","7905.65"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50115","PALOMAR MEDICAL CENTER","ESCONDIDO","CA","12","44775.91","6992.33","5583.00"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50128","TRI-CITY MEDICAL CENTER","OCEANSIDE","CA","26","52977.92","7548.76","6598.30"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50133","RIDEOUT MEMORIAL HOSPITAL","MARYSVILLE","CA","27","45246.74","7863.14","6946.70"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50168","ST JUDE MEDICAL CENTER","FULLERTON","CA","16","39046.81","6710.81","5465.62"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50174","SANTA ROSA MEMORIAL HOSPITAL","SANTA ROSA","CA","16","82480.75","8830.75","7773.50"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50179","EMANUEL MEDICAL CENTER INC","TURLOCK","CA","15","57258.73","7714.13","6888.26"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50180","JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS","WALNUT CREEK","CA","20","85165.10","12355.85","6776.50"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50197","SEQUOIA HOSPITAL","REDWOOD CITY","CA","19","94693.84","8682.94","6084.89"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50222","SHARP CHULA VISTA MEDICAL CENTER","CHULA VISTA","CA","13","55232.69","8104.38","7410.23"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50224","HOAG MEMORIAL HOSPITAL PRESBYTERIAN","NEWPORT BEACH","CA","34","29350.85","6511.29","5386.02"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC","50225","FEATHER RIVER HOSPITAL","PARADISE","CA","12","60022.58","7122.00","6278.33"
